"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"15243","ADIMON","BE","ADITYA BIRLA MONEY LTD",0.01,1,"","",0,10,"INE865C01022",189.08,87.95,189.08,9.25,"","","",0,0,0,163.5,157.09,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","BIRLAMONEY"
"15245","INN19","NW","0% INDIABULLS COMM.25 APR 26",0.01,1,"","",0,1000,"INE244L07549",0,0,0,0,"","","",0,0,0,1009.2,672.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","957ICCL28"
"15248","KAVTEL","BE","KAVERI TELECOM PRODUCTS LTD",0.01,1,"","",0,10,"INE641C01019",58.12,8.3,295,1.65,"","","",0,0,0,52.07,50.02,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KAVVERITEL"
"15249","INN20","NX","10.5% INDIABULLS COMM. APR 28",0.01,1,"","",0,1000,"INE244L07556",0,0,0,0,"","","",0,0,0,1084.8,723.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","1003ICCL28"
"15251","INN21","NY","INDIABULLS COMMERCIAL 9.57",0.01,1,"","",0,1000,"INE244L07564",0,0,0,0,"","","",0,0,0,960,640,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","866ICCL23A"
"15253","INN22","NZ","INDIABULLS COMMERCIAL 10.03",0.01,1,"","",0,1000,"INE244L07523",0,0,0,0,"","","",0,0,0,1101.36,734.24,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","890ICCL23A"
"15254","CEAT","EQ","CEAT LIMITED",0.01,1,"","",0,10,"INE482A01020",3263,2061,3263,20.85,"","","",0,0,0,3329.8,2219.9,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CEATLTD"
"15261","RELPOW","BE","RELIANCE POWER LIMITED",0.01,1,"","",0,10,"INE614G01033",53.64,16.45,331.25,1,"","","",0,0,0,43.13,39.02,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","RPOWER"
"15266","JKUMAR","EQ","J KUMAR INFRAPROJECTS LIMITED",0.01,1,"","",0,5,"INE576I01022",936.8,400,936.8,17.6,"","","",0,0,0,905,603.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JKIL"
"1527","INDACR","EQ","INDIAN ACRYLICS LTD",0.01,1,"","",0,10,"INE862B01013",0,0,7.95,1.85,"","","",0,0,0,3.6,2.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDIANACRY"
"15271","CORCAB","EQ","CORDS CABLE INDUSTRIES LIMITED",0.01,1,"","",0,10,"INE792I01017",278,103.8,278,10.5,"","","",0,0,0,237.7,158.47,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CORDSCABLE"
"15278","ONMGLO","EQ","ONMOBILE GLOBAL LIMITED",0.01,1,"","",0,10,"INE809I01019",124,59.55,372.5,12.45,"","","",0,0,0,93.13,62.08,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ONMOBILE"
"15283","KNRCON","EQ","KNR CONSTRUCTIONS LIMITED",0.01,1,"","",0,2,"INE634I01029",415.4,236.75,415.4,2,"","","",0,0,0,348.75,232.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KNRCON"
"15285","QUITEC","SM","QUICKTOUCH TECHNOLOGIES LTD",0.01,1,"","",0,10,"INE0K4D01020",0,0,274,92,"","","",0,0,0,139.8,93.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","QUICKTOUCH"
"15288","HERHOI","EQ","HERCULES HOISTS LIMITED",0.01,1,"","",0,1,"INE688E01024",710,180.5,710,34.48,"","","",0,0,0,228.75,152.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HERCULES"
"15295","VIRLIM","EQ","VIRINCHI LIMITED",0.01,1,"","",0,10,"INE539B01017",44,27.7,53.7,27.7,"","","",0,0,0,35.25,23.5,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","VIRINCHI"
