"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"3329","OPTCUR","EURINR","OPTION","31-Oct-2024",87.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"EURINR"
"3452","OPTCUR","EURINR","OPTION","31-Oct-2024",88.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"EURINR"
"3457","OPTCUR","EURINR","OPTION","31-Oct-2024",88.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.925,3.365,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.645,"EURINR"
"3473","OPTCUR","EURINR","OPTION","31-Oct-2024",88.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.675,3.115,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.395,"EURINR"
"3559","OPTCUR","EURINR","OPTION","31-Oct-2024",89.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0025,"EURINR"
"3574","OPTCUR","EURINR","OPTION","31-Oct-2024",89.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.4375,1.8525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.145,"EURINR"
"3621","OPTCUR","EURINR","OPTION","31-Oct-2024",90.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.9375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.4175,"EURINR"
"3725","OPTCUR","EURINR","OPTION","31-Oct-2024",90.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0225,"EURINR"
"3726","OPTCUR","EURINR","OPTION","31-Oct-2024",90.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.6125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.225,"EURINR"
"3730","OPTCUR","EURINR","OPTION","31-Oct-2024",90.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.4125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0775,"EURINR"
"10704","OPTCUR","USDINR","OPTION","27-Mar-2025",90.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.95,5.51,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0,"USDINR"
"5224","OPTCUR","JPYINR","OPTION","27-Mar-2025",61.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.295,0.555,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.425,"JPYINR"
"5245","OPTCUR","JPYINR","OPTION","26-Jun-2025",61.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.815,1.265,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.04,"JPYINR"
